iter	Passed	Remaining
0	130	130520
1	131	65867
2	135	44976
3	136	34038
4	138	27509
5	141	23404
6	143	20374
7	145	18023
8	147	16219
9	149	14754
10	150	13539
11	152	12530
12	154	11728
13	156	11030
14	157	10354
15	158	9767
16	160	9252
17	161	8823
18	164	8478
19	166	8134
20	167	7814
21	169	7536
22	170	7244
23	172	7004
24	173	6764
25	174	6534
26	177	6379
27	178	6180
28	178	5987
29	179	5810
30	180	5654
31	182	5507
32	184	5407
33	185	5268
34	186	5139
35	187	5016
36	188	4907
37	189	4802
38	190	4704
39	192	4609
40	193	4518
41	194	4434
42	195	4350
43	196	4266
44	197	4191
45	198	4118
46	199	4054
47	201	3988
48	202	3921
49	203	3867
50	204	3805
51	205	3749
52	206	3698
53	208	3653
54	209	3605
55	211	3558
56	213	3536
57	214	3490
58	216	3447
59	216	3397
60	218	3367
61	220	3329
62	221	3290
63	222	3250
64	223	3211
65	224	3175
66	225	3141
67	226	3105
68	227	3076
69	229	3043
70	230	3013
71	231	2989
72	235	2994
73	237	2966
74	238	2936
75	239	2906
76	241	2895
77	244	2890
78	246	2868
79	247	2851
80	249	2825
81	250	2803
82	250	2770
83	252	2749
84	253	2728
85	254	2703
86	255	2678
87	256	2653
88	257	2632
89	258	2616
90	259	2595
91	260	2573
92	261	2554
93	263	2542
94	265	2528
95	266	2512
96	267	2494
97	268	2473
98	269	2456
99	270	2438
100	271	2420
101	273	2404
102	275	2398
103	276	2383
104	278	2370
105	279	2353
106	280	2337
107	281	2324
108	282	2311
109	283	2295
110	284	2280
111	285	2265
112	286	2250
113	287	2235
114	288	2220
115	289	2207
116	290	2194
117	291	2181
118	292	2167
119	293	2154
120	294	2142
121	296	2130
122	297	2121
123	298	2109
124	299	2097
125	300	2084
126	301	2071
127	302	2060
128	303	2050
129	304	2039
130	306	2030
131	307	2019
132	308	2008
133	309	1999
134	310	1990
135	311	1980
136	312	1970
137	314	1963
138	315	1954
139	316	1945
140	317	1935
141	318	1922
142	319	1914
143	321	1909
144	322	1900
145	323	1891
146	324	1881
147	325	1872
148	326	1863
149	327	1853
150	328	1847
151	330	1842
152	331	1834
153	332	1826
154	333	1819
155	335	1813
156	336	1809
157	338	1801
158	339	1793
159	340	1785
160	340	1775
161	342	1773
162	344	1766
163	345	1760
164	346	1752
165	347	1745
166	348	1739
167	349	1731
168	350	1725
169	351	1718
170	352	1711
171	354	1704
172	355	1698
173	356	1692
174	358	1688
175	359	1682
176	360	1676
177	362	1673
178	363	1667
179	364	1662
180	366	1657
181	367	1653
182	368	1646
183	370	1641
184	371	1637
185	373	1634
186	375	1631
187	376	1628
188	378	1624
189	391	1668
190	392	1663
191	393	1655
192	394	1649
193	395	1643
194	396	1638
195	398	1632
196	399	1627
197	400	1621
198	401	1616
199	402	1610
200	405	1613
201	406	1607
202	408	1602
203	409	1596
204	410	1593
205	412	1588
206	413	1583
207	414	1578
208	415	1572
209	416	1566
210	417	1562
211	419	1560
212	420	1555
213	422	1550
214	423	1544
215	424	1539
216	425	1534
217	426	1529
218	427	1524
219	428	1519
220	429	1514
221	430	1509
222	431	1503
223	432	1499
224	433	1494
225	435	1492
226	436	1487
227	438	1483
228	439	1478
229	440	1474
230	441	1470
231	442	1465
232	444	1461
233	444	1456
234	446	1452
235	447	1447
236	447	1442
237	449	1437
238	450	1434
239	451	1429
240	452	1425
241	453	1421
242	454	1416
243	456	1412
244	457	1408
245	458	1404
246	459	1400
247	460	1396
248	461	1392
249	462	1388
250	464	1384
251	465	1381
252	466	1377
253	467	1372
254	468	1368
255	469	1364
256	470	1359
257	471	1355
258	472	1352
259	474	1350
260	476	1347
261	477	1345
262	479	1343
263	481	1343
264	483	1340
265	484	1337
266	486	1336
267	488	1334
268	490	1331
269	491	1329
270	492	1326
271	494	1323
272	496	1321
273	498	1320
274	500	1318
275	501	1316
276	503	1314
277	505	1313
278	507	1311
279	509	1309
280	511	1309
281	513	1307
282	515	1305
283	516	1303
284	518	1300
285	520	1300
286	522	1298
287	524	1295
288	526	1294
289	528	1293
290	529	1291
291	531	1289
292	533	1287
293	535	1285
294	537	1283
295	538	1281
296	540	1279
297	542	1278
298	544	1276
299	546	1274
300	547	1272
301	549	1270
302	551	1268
303	553	1266
304	555	1264
305	557	1263
306	559	1261
307	560	1259
308	562	1257
309	564	1255
310	565	1253
311	567	1251
312	569	1249
313	570	1247
314	572	1245
315	574	1243
316	576	1241
317	582	1248
318	584	1247
319	586	1245
320	588	1245
321	590	1243
322	592	1242
323	595	1241
324	597	1240
325	598	1238
326	600	1235
327	602	1234
328	604	1232
329	606	1231
330	608	1229
331	611	1229
332	612	1227
333	614	1225
334	616	1223
335	617	1220
336	619	1218
337	620	1215
338	622	1213
339	624	1211
340	626	1210
341	627	1208
342	629	1205
343	630	1203
344	634	1204
345	637	1205
346	639	1203
347	641	1201
348	642	1198
349	644	1196
350	645	1193
351	647	1191
352	648	1189
353	650	1186
354	651	1184
355	653	1181
356	655	1179
357	656	1177
358	658	1175
359	659	1172
360	661	1170
361	663	1169
362	664	1166
363	666	1164
364	667	1161
365	669	1160
366	671	1158
367	673	1156
